Sources - see bottom right,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,,,
Dog breed,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,,,
West Highland White Terrier,,terrier,,3.08,35,32,"$20,490",41.00%,,47,41%,12.80,86%,3,67%,$538,84%,$324,68%,2,75%,1,100%,,4.45,20,10,3.08,35,,small,no data,no data,27,10.5,,,,,Average,25-40,>50,80,"'lion jaw', 'dry eye', skin problems","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea",,,,"16,927",40%,538,budget,275,750,4,4,4,5.10,266,"3,404",,"12,786",999,784,121,126,244,177,116,200,,,,
Bedlington Terrier,,terrier,,3.07,134,83,"$22,107",17.00%,,40,54%,13.51,93%,2,78%,"$1,058",22%,$324,68%,2,75%,2,50.00%,,3.95,21,35,3.07,134,,small,9,20,no data,no data,,Price: only 6 puppies for breed,,,Average,25-40,>50,54,"liver, eye problems","Chronic hepatitis, Retinal dysplasia",,,,"18,346",16%,"1,058",mid-price,250,1800,4,4,4,5.10,266,"3,593",,"13,495",999,784,121,126,244,177,116,200,,,,
Poodle,,non-sporting,,3.04,8,8,"$21,237",31.00%,,2,99%,11.95,60%,2,78%,$900,38%,$466,23%,2,75%,2,50.00%,,3.92,22,39,3.04,8,,medium,no data,no data,41,16,,15 in is min height for standard poodle,,,Brightest,<5,>95,1178,"fatal stomach bloat, skin disorder","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)",,,,"17,605",31%,900,mid-price,500,1500,5.75,4,7.5,7.33,382,"4,568",,"11,937",999,784,121,126,244,177,116,200,,,,
Bichon Frise,,non-sporting,,3.03,39,34,"$19,735",54.00%,,45,45%,12.21,68%,0,100%,$693,62%,$324,68%,1,50%,1,100%,,4.28,25,16,3.03,39,,small,no data,no data,27,10.5,,,,,Average,25-40,>50,146,none,none,,,,"16,336",53%,693,budget,250,1500,4,4,4,5.10,266,"3,247",,"12,197",999,784,121,126,244,177,116,200,,,,
German Shorthaired Pointer,,sporting,,3.03,15,15,"$25,842",3.00%,,17,84%,11.46,49%,1,89%,$545,83%,$971,5%,2,75%,1,100.00%,,4.41,23,12,3.03,15,,large,28,62.5,61,24,,,,,Excellent,5-15,>85,203,hip problems,hip dysplasia,,,,"19,260",10%,545,budget,200,850,-,-,-,12,617,"7,068",,"11,447",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/german-shorthaired-pointer#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/German-Short-Haired-Pointer,
Pointer,,sporting,,3.03,115,74,"$24,445",8.00%,,43,49%,12.42,75%,1,89%,$294,99%,$710,6%,2,75%,1,100%,,4.40,24,13,3.03,115,,large,27,59.5,65,25.5,,English Pointer. price: 8 puppies for sale only,,,Average,25-40,>50,145,hip problems,hip dysplasia,,,,"20,125",7%,294,budget,50,500,8.75,7.5,10,11.15,582,"7,225",,"12,406",999,784,121,126,244,177,116,200,,,,
Tibetan Spaniel,,non-sporting,,3.02,114,73,"$25,549",5.00%,,46,43%,14.42,99%,0,100%,"$1,050",24%,$466,23%,2,75%,1,100%,,4.40,26,14,3.02,114,,small,5,12,25,10,,,,,Average,25-40,>50,125,none,none,,,,"21,166",2%,"1,050",mid-price,500,2000,5.75,4,7.5,7.33,382,"5,512",,"14,404",999,784,121,126,244,177,116,200,,,,
Labrador Retriever,,sporting,,2.97,1,1,"$21,299",30.00%,,7,93%,12.04,63%,3,67%,$810,51%,$466,23%,2,75%,1,100%,,4.35,27,15,2.97,1,,medium,31,67.5,58,23,,,,,Brightest,<5,>95,1101,"elbows, hips, eyes","elbow dysplasia, hip dysplasia, retinal dysplasia",,,,"17,639",30%,810,mid-price,299,1500,5.75,4,7.5,7.33,382,"4,602",,"12,027",999,784,121,126,244,177,116,200,,,,
Maltese,,toy,,2.93,23,23,"$19,084",62.00%,,59,25%,12.25,69%,1,89%,$650,69%,$270,100%,1,50%,3,0.00%,,3.18,29,65,2.93,23,,small,2,5,23,9,,,,,Fair,40-80,>30,42,heart problems,Patent ductus arteriosus (PDA),,,,"15,185",70%,650,budget,300,1000,-,-,-,3,171,"2,099",,"12,237",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/maltese#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Maltese,
Pomeranian,,toy,,2.93,17,17,"$15,792",93.00%,,23,77%,9.67,23%,1,89%,$670,66%,$324,68%,2,75%,2,50.00%,,3.81,28,45,2.93,17,,small,2,5,no data,no data,,,,,Excellent,5-15,>85,29,heart problems,Patent ductus arteriosus (PDA),,,,"13,101",93%,670,budget,200,1500,4,4,4,5.10,266,"2,571",,"9,659",999,784,121,126,244,177,116,200,,,,
