Sources - see bottom right,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,,,
Dog breed,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,,,
Great Dane,,working,,1.53,19,19,"$14,662",95.00%,,48,39%,6.96,6%,4,56%,"$1,040",25%,$710,6%,2,75%,1,100%,,2.91,85,75,1.53,19,,large,no data,no data,76,30,,min height for males,,,Average,25-40,>50,667,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",,,,"12,241",95%,"1,040",mid-price,500,2500,8.75,7.5,10,11.15,582,"4,049",,"6,952",999,784,121,126,244,177,116,200,,,,
Saint Bernard,,working,,1.42,49,43,"$20,022",52.00%,,65,18%,7.78,9%,3,67%,$875,43%,"$1,217",2%,1,50%,1,100%,,2.67,86,81,1.42,49,,large,70,155,67,26.5,,,,,Fair,40-80,>30,93,"heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia",,,,"16,605",48%,875,mid-price,450,1500,15,15,15,19.11,997,"7,758",,"7,771",999,784,121,126,244,177,116,200,,,,
Bulldog,,non-sporting,,0.99,6,6,"$13,479",100.00%,,78,3%,6.29,1%,5,44%,"$2,680",1%,$466,23%,2,75%,2,50.00%,,1.86,87,87,0.99,6,,medium,20,45,no data,no data,,English bulldog,,,Lowest,80-100,<25,197,"breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",,,,"11,567",98%,"2,680",high-end,1500,5500,5.75,4,7.5,7.33,382,"2,404",,"6,283",999,784,121,126,244,177,116,200,,,,
Airedale Terrier,,terrier,,,55,,no data,,,29,,11.45,,1,,$733,,,,-,,-,,,,,,,,,medium,no data,no data,58,23,,,,,Above average,15-25,>70,307,hip problems,hip dysplasia,,,,no data,,733,mid-price,475,1200,no data,no data,no data,no data,,no data,,"11,437",999,784,121,126,244,177,116,200,,,,
American English Coonhound,,hound,,,33,,no data,,,no data,,11.5,,no data,,$283,,,,-,,-,,,,,,,,,large,no data,no data,62,24.5,,6 dogs for sale only,,,no data,no data,no data,-,no data,no data,,,,no data,,283,budget,100,350,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
American Eskimo Dog,,non-sporting,,,116,,no data,,,no data,,no data,,0,,$560,,,,-,,-,,,,,,,,,small,no data,no data,36,14,,,,,no data,no data,no data,-,none,none,,,,no data,,560,budget,300,950,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
American Foxhound,,hound,,,173,,no data,,,46,,no data,,no data,,$757,,,,-,,-,,,,,,,,,medium,no data,no data,58,23,,Price: only 7 puppies listed for this breed,,,Average,25-40,>50,-,no data,no data,,,,no data,,757,mid-price,250,1000,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
American Staffordshire Terrier,,terrier,,,72,,no data,,,34,,no data,,1,,"$1,043",,,,-,,-,,,,,,,,,medium,no data,no data,46,18,,,,,Above average,15-25,>70,-,skin problems,Demodicosis/ Demodectic mange,,,,no data,,"1,043",mid-price,250,1500,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
American Water Spaniel,,sporting,,,157,,no data,,,44,,no data,,0,,$730,,,,-,,-,,,,,,,,,medium,16,35,42,16.5,,,,,Average,25-40,>50,-,none,none,,,,no data,,730,mid-price,600,1250,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Anatolian Shepherd Dog,,working,,,111,,no data,,,no data,,10.75,,no data,,no data,,,,2,,2,,,,,,,,,large,52,115,71,28,,,,,no data,no data,no data,23,no data,no data,,,,no data,,no data,no data,no data,no data,8.75,7.5,10,11.15,,"6,253",,"10,738",999,784,121,126,244,177,116,200,,,,
Bearded Collie,,herding,,,112,,no data,,,34,,12.77,,0,,no data,,,,1,,1,,,,,,,,,medium,no data,no data,53,21,,,,,Above average,15-25,>70,551,none,none,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"4,881",,"12,756",999,784,121,126,244,177,116,200,,,,
Beauceron,,herding,,,144,,no data,,,no data,,no data,,no data,,$967,,,,-,,-,,,,,,,,,large,no data,no data,65,25.75,,3 dogs for sale only,,,no data,no data,no data,-,no data,no data,,,,no data,,967,mid-price,950,"1,000",no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Belgian Malinois,,herding,,,74,,no data,,,22,,no data,,0,,"$1,080",,,,2,,1,,,,,,,,,large,no data,no data,61,24,,,,,Excellent,5-15,>85,-,none,none,,,,no data,,"1,080",mid-price,550,2000,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Belgian Sheepdog,,herding,,,118,,no data,,,15,,no data,,4,,no data,,,,-,,-,,,,,,,,,large,no data,no data,61,24,,,,,Excellent,5-15,>85,-,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Black and Tan Coonhound,,hound,,,109,,no data,,,44,,no data,,0,,$325,,,,-,,-,,,,,,,,,large,no data,no data,64,25,,,,,Average,25-40,>50,-,none,none,,,,no data,,325,budget,200,500,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Black Russian Terrier,,working,,,128,,no data,,,no data,,1.83 - really?,,0,,"$2,833",,,,-,,-,,,,,,,,,large,no data,no data,71,28,,3 dogs for sale only,,,no data,no data,no data,4,none,none,,,,no data,,"2,833",high-end,2500,3000,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Bluetick Coonhound,,hound,,,136,,no data,,,no data,,no data,,0,,$370,,,,-,,-,,,,,,,,,large,28,62.5,61,24,,,,,no data,no data,no data,-,none,none,,,,no data,,370,budget,200,500,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Boykin Spaniel,,sporting,,,138,,no data,,,no data,,no data,,no data,,$531,,,,-,,-,,,,,,,,,medium,no data,no data,41,16,,,,,no data,no data,no data,-,no data,no data,,,,no data,,531,budget,200,800,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Canaan Dog,,herding,,,168,,no data,,,no data,,14.67,,0,,no data,,,,2,,1,,,,,,,,,medium,20,45,55,21.5,,,,,no data,no data,no data,2,none,none,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"5,608",,"14,654",999,784,121,126,244,177,116,200,,,,
Cane Corso,,working,,,67,,no data,,,no data,,no data,,no data,,"$1,070",,,,-,,-,,,,,,,,,large,no data,no data,64,25,,,,,no data,no data,no data,-,no data,no data,,,,no data,,"1,070",mid-price,900,1500,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Cardigan Welsh Corgi,,herding,,,81,,no data,,,26,,12.70,,0,,$828,,,,-,,-,,,,,,,,,small,14,31.5,29,11.5,,,,,Excellent,5-15,>85,53,none,none,,,,no data,,828,mid-price,395,1085,no data,no data,no data,no data,,no data,,"12,686",999,784,121,126,244,177,116,200,,,,
Cesky Terrier,,terrier,,,106,,no data,,,no data,,8.42,,no data,,no data,,,,2,,1,,,,,,,,,small,9,19,29,11.5,,,,,no data,no data,no data,9,no data,no data,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"3,219",,"8,411",999,784,121,126,244,177,116,200,,,,
Chinese Crested,,toy,,,61,,no data,,,61,,10.08,,no data,,$538,,,,-,,-,,,,,,,,,small,no data,no data,30,12,,,,,Fair,40-80,>30,829,no data,no data,,,,no data,,538,budget,125,1300,no data,no data,no data,no data,,no data,,"10,069",999,784,121,126,244,177,116,200,,,,
Chinese Shar Pei,,non-sporting,,,50,,no data,,,51,,no data,,4,,$840,,,,-,,-,,,,,,,,,medium,24,52.5,48,19,,,,,Average,25-40,>50,-,"canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",,,,no data,,840,mid-price,350,2000,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Collie,,herding,,,36,,no data,,,16,,no data,,2,,$650,,,,-,,-,,,,,,,,,large,28,62.5,61,24,,,,,Excellent,5-15,>85,-,"eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",,,,no data,,650,budget,350,950,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Curly Coated Retriever,,sporting,,,154,,no data,,,41,,10.75,,0,,no data,,,,2,,2,,,,,,,,,large,no data,no data,64,25,,,,,Average,25-40,>50,40,none,none,,,,no data,,no data,no data,no data,no data,8.75,7.5,10,11.15,,"6,253",,"10,738",999,784,121,126,244,177,116,200,,,,
English Foxhound,,hound,,,171,,no data,,,46,,no data,,0,,no data,,,,-,,-,,,,,,,,,large,no data,no data,61,24,,,,,Average,25-40,>50,-,none,none,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Entlebucher Mountain Dog,,herding,,,146,,no data,,,no data,,no data,,no data,,"$1,167",,,,-,,-,,,,,,,,,medium,no data,no data,47,18.5,,3 dogs for sale only,,,no data,no data,no data,-,no data,no data,,,,no data,,"1,167",mid-price,"1,000","1,300",no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Field Spaniel,,sporting,,,141,,no data,,,34,,9.90,,0,,no data,,,,1,,2,,,,,,,,,medium,no data,no data,44,17.5,,,,,Above average,15-25,>70,139,none,none,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"3,784",,"9,889",999,784,121,126,244,177,116,200,,,,
Finnish Lapphund,,herding,,,104,,no data,,,no data,,7.33,,no data,,no data,,,,1,,1,,,,,,,,,medium,no data,no data,47,18.5,,,,,no data,no data,no data,5,no data,no data,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"2,802",,"7,322",999,784,121,126,244,177,116,200,,,,
Finnish Spitz,,non-sporting,,,167,,no data,,,43,,11.17,,0,,no data,,,,2,,1,,,,,,,,,medium,no data,no data,45,17.75,,,,,Average,25-40,>50,42,none,none,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"4,270",,"11,158",999,784,121,126,244,177,116,200,,,,
German Pinscher,,working,,,137,,no data,,,no data,,11.42,,no data,,"$1,500",,,,-,,-,,,,,,,,,medium,no data,no data,47,18.5,,only one dog for sale,,,no data,no data,no data,24,no data,no data,,,,no data,,"1,500",high-end,1500,1500,no data,no data,no data,no data,,no data,,"11,407",999,784,121,126,244,177,116,200,,,,
German Wirehaired Pointer,,sporting,,,75,,no data,,,44,,10.00,,1,,$655,,,,-,,-,,,,,,,,,large,no data,no data,61,24,,,,,Average,25-40,>50,41,hip problems,hip dysplasia,,,,no data,,655,budget,600,800,no data,no data,no data,no data,,no data,,"9,989",999,784,121,126,244,177,116,200,,,,
Glen of Imaal Terrier,,terrier,,,158,,no data,,,no data,,10.42,,no data,,no data,,,,-,,-,,,,,,,,,small,16,35,34,13.25,,,,,no data,no data,no data,6,no data,no data,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"10,409",999,784,121,126,244,177,116,200,,,,
Great Pyrenees,,working,,,71,,no data,,,64,,10.00,,1,,$503,,,,-,,-,,,,,,,,,large,no data,no data,72,28.5,,"Excludes death from accidents (10.47%), euthanasia for temperament problems (9.13%), and dogs euthanized within 8 weeks of birth (2.23%).   With those included, median longevity would probably be about 9 yrs. ",,,Fair,40-80,>30,454,hip problems,hip dysplasia,,,,no data,,503,budget,225,800,no data,no data,no data,no data,,no data,,"9,989",999,784,121,126,244,177,116,200,,,,
Greater Swiss Mountain Dog,,working,,,82,,no data,,,no data,,6.80,,1,,"$1,605",,,,-,,-,,,,,,,,,large,no data,no data,66,26,,,,,no data,no data,no data,71,hip problems,hip dysplasia,,,,no data,,"1,605",high-end,900,2500,no data,no data,no data,no data,,no data,,"6,793",999,784,121,126,244,177,116,200,,,,
Harrier,,hound,,,172,,no data,,,no data,,no data,,0,,no data,,,,-,,-,,,,,,,,,medium,no data,no data,51,20,,,,,no data,no data,no data,-,none,none,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Havanese,,toy,,,31,,no data,,,no data,,10.25,,0,,$830,,,,-,,-,,,,,,,,,small,no data,no data,25,9.75,,,,,no data,no data,no data,3,none,none,,,,no data,,830,mid-price,300,1500,no data,no data,no data,no data,,no data,,"10,239",999,784,121,126,244,177,116,200,,,,
Ibizan Hound,,hound,,,149,,no data,,,53,,no data,,0,,"$1,500",,,,2,,1,,,,,,,,,large,no data,no data,64,25,,Only 2 puppies for sale,,,Average,25-40,>50,-,none,none,,,,no data,,"1,500",high-end,1500,1500,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Icelandic Sheepdog,,herding,,,143,,no data,,,no data,,no data,,no data,,no data,,,,-,,-,,,,,,,,,medium,no data,no data,44,17.25,,,,,no data,no data,no data,-,no data,no data,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Irish Red and White Setter,,sporting,,,147,,no data,,,no data,,11.57,,no data,,"$1,000",,,,-,,-,,,,,,,,,large,no data,no data,62,24.25,,only 2 dogs for sale,,,no data,no data,no data,199,no data,no data,,,,no data,,"1,000",mid-price,"1,000","1,000",no data,no data,no data,no data,,no data,,"11,557",999,784,121,126,244,177,116,200,,,,
Irish Terrier,,terrier,,,132,,no data,,,53,,no data,,0,,$588,,,,2,,1,,,,,,,,,medium,12,26,46,18,,,,,Average,25-40,>50,-,none,none,,,,no data,,588,budget,400,850,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Irish Water Spaniel,,sporting,,,150,,no data,,,24,,9.33,,1,,no data,,,,2,,1,,,,,,,,,medium,25,55,57,22.5,,,,,Excellent,5-15,>85,95,hip problems,hip dysplasia,,,,no data,,no data,no data,no data,no data,8.75,7.5,10,11.15,,"5,427",,"9,320",999,784,121,126,244,177,116,200,,,,
Japanese Chin,,toy,,,78,,no data,,,62,,9.25,,0,,$513,,,,-,,-,,,,,,,,,small,no data,no data,24,9.5,,,,,Fair,40-80,>30,38,none,none,,,,no data,,513,budget,200,800,no data,no data,no data,no data,,no data,,"9,240",999,784,121,126,244,177,116,200,,,,
Keeshond,,non-sporting,,,98,,no data,,,16,,12.17,,1,,$610,,,,-,,-,,,,,,,,,medium,no data,no data,44,17.5,,,,,Excellent,5-15,>85,104,hip problems,hip dysplasia,,,,no data,,610,budget,350,1000,no data,no data,no data,no data,,no data,,"12,157",999,784,121,126,244,177,116,200,,,,
Komondor,,working,,,166,,no data,,,no data,,9.17,,1,,$656,,,,-,,-,,,,,,,,,large,45,100,70,27.5,,,,,no data,no data,no data,10,hip problems,hip dysplasia,,,,no data,,656,budget,500,850,no data,no data,no data,no data,,no data,,"9,160",999,784,121,126,244,177,116,200,,,,
Kuvasz,,working,,,148,,no data,,,42,,no data,,1,,no data,,,,-,,-,,,,,,,,,large,42,92.5,71,28,,,,,Average,25-40,>50,-,hip problems,hip dysplasia,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Lakeland Terrier,,terrier,,,135,,no data,,,62,,no data,,0,,"$1,093",,,,2,,1,,,,,,,,,small,8,17,37,14.5,,,,,Fair,40-80,>30,-,none,none,,,,no data,,"1,093",mid-price,575,1600,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Leonberger,,working,,,103,,"$15,141",,,no data,,6.98,,no data,,"$1,480",,,,2,,1,,,,,,,,,large,no data,no data,72,28.5,,5 dogs for sale only,,,no data,no data,no data,125,no data,no data,,,,"12,713",,"1,480",mid-price,700,1800,8.75,7.5,10,11.15,,"4,060",,"6,972",999,784,121,126,244,177,116,200,,,,
Looked - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Löwchen,,non-sporting,,,152,,no data,,,no data,,10.00,,0,,no data,,,,-,,-,,,,,,,,,small,no data,no data,33,13,,,,,no data,no data,no data,9,none,none,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"9,989",999,784,121,126,244,177,116,200,,,,
Manchester Terrier,,terrier,,,119,,no data,,,32,,9.32,,0,,$720,,,,-,,-,,,,,,,,,small,8,17,no data,no data,,only 7 puppies for sale. weight for standard (not miniature),,,Above average,15-25,>70,142,none,none,,,,no data,,720,mid-price,140,1500,no data,no data,no data,no data,,no data,,"9,310",999,784,121,126,244,177,116,200,,,,
Miniature Bull Terrier,,terrier,,,127,,no data,,,no data,,6.60,,0,,"$1,740",,,,-,,-,,,,,,,,,small,no data,no data,30,12,,,,,no data,no data,no data,73,none,none,,,,no data,,"1,740",high-end,999,2800,no data,no data,no data,no data,,no data,,"6,593",999,784,121,126,244,177,116,200,,,,
Miniature Pinscher,,toy,,,42,,no data,,,37,,no data,,0,,$535,,,,-,,-,,,,,,,,,small,no data,no data,29,11.25,,,,,Above average,15-25,>70,-,none,none,,,,no data,,535,budget,300,900,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Neapolitan Mastiff,,working,,,110,,no data,,,no data,,no data,,1,,"$1,760",,,,2,,1,,,,,,,,,large,59,130,70,27.5,,,,,no data,no data,no data,-,hip problems,hip dysplasia,,,,no data,,"1,760",high-end,850,3500,15,15,15,19.11,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Norwegian Buhund,,herding,,,165,,no data,,,no data,,12.67,,no data,,no data,,,,-,,-,,,,,,,,,medium,15,33,44,17.25,,,,,no data,no data,no data,17,no data,no data,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"12,656",999,784,121,126,244,177,116,200,,,,
Norwegian Elkhound,,hound,,,96,,no data,,,36,,no data,,1,,$448,,,,-,,-,,,,,,,,,medium,23,51.5,51,20,,price: 5 puppies only,,,Above average,15-25,>70,-,hip problems,hip dysplasia,,,,no data,,448,budget,350,500,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Norwegian Lundehund,,non-sporting,,,170,,no data,,,no data,,no data,,no data,,no data,,,,-,,-,,,,,,,,,small,no data,no data,34,13.5,,,,,no data,no data,no data,-,no data,no data,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Norwich Terrier,,terrier,,,89,,no data,,,38,,no data,,0,,"$1,245",,,,2,,2,,,,,,,,,small,5,12,25,10,,,,,Above average,15-25,>70,-,none,none,,,,no data,,"1,245",mid-price,750,2000,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
NOT POSSIBLE IF NO INTELLIGENCE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia Duck Tolling Retriever,,sporting,,,107,,"$12,653",,,no data,,6.50,,1,,"$1,500",,,,2,,1,,,,,,,,,medium,no data,no data,48,19,,4 dogs for sale only,,,no data,no data,no data,150,hip problems,hip dysplasia,,,,"10,678",,"1,500",high-end,1500,1500,5.75,4,7.5,7.33,,"2,485",,"6,493",999,784,121,126,244,177,116,200,,,,
Otterhound,,hound,,,169,,no data,,,46,,10.80,,1,,no data,,,,2,,1,,,,,,,,,large,44,97.5,65,25.5,,,,,Average,25-40,>50,41,hip problems,hip dysplasia,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"4,128",,"10,788",999,784,121,126,244,177,116,200,,,,
Parson Russell Terrier,,terrier,,,97,,no data,,,no data,,no data,,0,,$528,,,,2,,2,,,,,,,,,small,7,15,34,13.5,,,,,no data,no data,no data,-,none,none,,,,no data,,528,budget,150,850,5.75,4,7.5,7.33,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Petit Basset Griffon Vendeen,,hound,,,131,,no data,,,62,,12.70,,0,,$400,,,,-,,-,,,,,,,,,small,no data,no data,36,14,,price: 3 puppies for sale only,,,Fair,40-80,>30,45,none,none,,,,no data,,400,budget,250,700,no data,no data,no data,no data,,no data,,"12,686",999,784,121,126,244,177,116,200,,,,
Plott,,hound,,,145,,no data,,,no data,,no data,,0,,no data,,,,-,,-,,,,,,,,,medium,23,50,57,22.5,,,,,no data,no data,no data,-,none,none,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Polish Lowland Sheepdog,,herding,,,159,,no data,,,no data,,10.80,,no data,,no data,,,,2,,2,,,,,,,,,medium,no data,no data,47,18.5,,,,,no data,no data,no data,30,no data,no data,,,,no data,,no data,no data,no data,no data,5.75,4,7.5,7.33,,"4,128",,"10,788",999,784,121,126,244,177,116,200,,,,
Portuguese Water Dog,,working,,,56,,no data,,,no data,,11.42,,0,,no data,,,,-,,-,,,,,,,,,medium,22,47.5,51,20,,,,,no data,no data,no data,6,none,none,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"11,407",999,784,121,126,244,177,116,200,,,,
Puli,,herding,,,156,,no data,,,27,,no data,,0,,$913,,,,-,,-,,,,,,,,,medium,no data,no data,42,16.5,,,,,Above average,15-25,>70,-,none,none,,,,no data,,913,mid-price,700,1000,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Pyrenean Shepherd,,herding,,,162,,no data,,,no data,,no data,,no data,,no data,,,,-,,-,,,,,,,,,medium,no data,no data,46,18,,,,,no data,no data,no data,-,no data,no data,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Redbone Coonhound,,hound,,,126,,no data,,,no data,,no data,,0,,$425,,,,-,,-,,,,,,,,,large,no data,no data,61,24,,,,,no data,no data,no data,-,none,none,,,,no data,,425,budget,300,700,no data,no data,no data,no data,,no data,,no data,999,784,121,126,244,177,116,200,,,,
Schipperke,,non-sporting,,,105,,no data,,,15,,13.00,,4,,$658,,,,-,,-,,,,,,,,,small,no data,no data,29,11.5,,,,,Excellent,5-15,>85,36,"hair loss, diabetes, skin problems","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus",,,,no data,,658,budget,300,975,no data,no data,no data,no data,,no data,,"12,986",999,784,121,126,244,177,116,200,,,,
Scottish Deerhound,,hound,,,142,,no data,,,47,,8.70,,2,,no data,,,,-,,-,,,,,,,,,large,42,92.5,no data,no data,,,,,Average,25-40,>50,300,"heart problems, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus",,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"8,690",999,784,121,126,244,177,116,200,,,,
Sealyham Terrier,,terrier,,,163,,no data,,,56,,12.25,,1,,no data,,,,-,,-,,,,,,,,,small,11,24,27,10.5,,,,,Fair,40-80,>30,12,eye problems,Retinal dysplasia,,,,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,,"12,237",999,784,121,126,244,177,116,200,,,,
Shiba Inu,,non-sporting,,,53,,no data,,,no data,,7.00,,1,,$890,,,,-,,-,,,,,,,,,small,9,20,38,15,,,,,no data,no data,no data,3,hip problems,hip dysplasia,,,,no data,,890,mid-price,650,1400,no data,no data,no data,no data,,no data,,"6,992",999,784,121,126,244,177,116,200,,,,
Silky Terrier,,toy,,,85,,no data,,,37,,14.25,,0,,$448,,,,-,,-,,,,,,,,,small,5,10,24,9.5,,,,,Above average,15-25,>70,3,none,none,,,,no data,,448,budget,250,500,no data,no data,no data,no data,,no data,,"14,234",999,784,121,126,244,177,116,200,,,,
Skye Terrier,,terrier,,,164,,no data,,,55,,11.00,,0,,$550,,,,-,,-,,,,,,,,,small,18,40,25,9.75,,,,,Fair,40-80,>30,37,none,none,,,,no data,,550,budget,500,600,no data,no data,no data,no data,,no data,,"10,988",999,784,121,126,244,177,116,200,,,,
Smooth Fox Terrier,,terrier,,,113,,no data,,,40,,13.17,,0,,$575,,,,-,,-,,,,,,,,,small,8,17.5,38,15,,"Longevity: All fox terriers. Size: a full-sized, well balanced dog should not exceed 15½ inches at the withers--the bitch being proportionately lower. A dog with these measurements should scale 18 pounds in show condition--a bitch weighing some two pounds less-with a margin of one pound either way.",,,Average,25-40,>50,44,none,none,,,,no data,,575,budget,450,750,no data,no data,no data,no data,,no data,,"13,155",999,784,121,126,244,177,116,200,,,,
